"team","games","sacks","fumbleRecoveries","interceptions","defenseTouchdowns","safeties","blockedKicks","kickYards","kickTouchdowns","puntYards","puntTouchdowns","paPerGame","pa0Games","pa16Games","pa713Games","pa1420Games","pa2127Games","pa2834Games","pa3545Games","pa46plusGames","passYdsPerGame","runYdsPerGame","yaNegGames","ya099Games","ya100199Games","ya200299Games","ya300349Games","ya350399Games","ya400449Games","ya450499Games","ya500549Games","ya550plusGames","fantasyPts","fantasyPpg"
"ARZ","17","36","9","11","5","0","1","684","0","289","0","26.4","0","0","0","7","4","3","3","0","245.9","118.7","0","0","0","2","7","4","2","2","0","0","99","5.82"
"ATL","17","21","8","10","4","1","3","634","1","292","0","22.7","0","0","0","8","6","2","1","0","240.6","130.2","0","0","0","2","7","2","4","1","0","1","100","5.88"
"BLT","17","48","11","14","0","0","2","659","1","214","0","18.5","0","1","5","4","5","1","1","0","250.1","92.1","0","0","0","5","5","5","0","1","0","1","132","7.76"
"BUF","16","40","10","17","1","2","1","908","2","276","0","17.9","0","1","5","4","4","2","0","0","232.6","104.6","0","0","0","5","4","2","4","0","1","0","146","9.13"
"CAR","17","35","7","10","3","0","5","750","0","216","0","22","0","1","3","3","6","1","3","0","241.2","122.7","0","0","0","2","7","2","4","2","0","0","101","5.94"
"CHI","17","20","9","14","0","0","1","996","0","197","0","27.2","0","0","2","3","3","5","3","1","225.9","157.5","0","0","0","3","4","2","4","3","1","0","57","3.35"
"CIN","16","30","12","13","1","0","2","596","0","340","0","20.1","0","0","2","7","5","2","0","0","239.8","106.6","0","0","0","3","4","6","2","1","0","0","101","6.31"
"CLV","17","34","9","11","3","0","1","943","0","298","1","22.4","0","1","2","4","4","4","2","0","208.6","135","0","0","0","6","5","2","2","2","0","0","106","6.24"
"DAL","17","53","18","16","3","0","2","525","0","303","0","20.1","0","2","3","5","3","3","1","0","221.5","129.3","0","0","0","3","7","4","2","0","1","0","165","9.71"
"DEN","17","36","9","15","0","1","1","420","0","310","0","21.1","0","0","4","6","3","3","0","1","224.7","109.6","0","0","0","5","5","4","3","0","0","0","102","6"
"DET","17","39","10","12","1","1","1","889","0","264","1","25.1","0","0","2","4","3","5","2","1","261.5","146.5","0","0","0","2","2","4","5","2","0","2","93","5.47"
"GB","17","34","8","17","2","1","2","1207","1","316","0","21.8","0","0","3","5","7","1","1","0","209","140","0","0","1","3","4","4","4","0","1","0","118","6.94"
"HST","17","39","12","16","1","1","0","513","0","362","0","24.7","0","1","0","4","5","6","1","0","222.1","169.5","0","0","0","1","3","7","4","0","2","0","104","6.12"
"IND","17","44","11","10","3","0","3","1197","0","289","0","25.1","0","0","1","7","5","1","2","1","225.6","124.5","0","0","0","3","7","5","1","0","0","1","111","6.53"
"JAX","17","35","12","14","4","0","0","721","0","228","0","20.6","1","2","2","2","5","4","1","0","250.5","114.6","0","0","0","4","3","3","6","1","0","0","137","8.06"
"KC","17","55","9","11","2","1","0","692","0","241","0","21.7","0","0","3","3","8","3","0","0","243.8","107.2","0","0","0","3","6","4","2","2","0","0","121","7.12"
"MIA","17","40","6","8","3","1","2","549","0","111","0","23.5","0","1","2","3","6","3","2","0","251.8","102.9","0","0","1","4","3","4","2","2","1","0","103","6.06"
"MIN","17","38","10","15","1","0","3","920","1","228","0","25.1","0","0","2","2","8","2","3","0","279.8","123.1","0","0","0","3","2","2","3","6","1","0","99","5.82"
"NE","17","55","11","19","7","0","1","854","0","418","1","20.4","1","2","1","4","4","3","2","0","236.9","105.5","0","0","2","1","5","4","4","1","0","0","185","10.88"
"NO","17","48","8","7","1","0","1","595","0","243","0","20.3","1","0","4","5","3","3","1","0","200.8","130.5","0","0","0","4","6","4","3","0","0","0","109","6.41"
