"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Dareke Young","SEA","13","WR","2","2","0","24","0","0","0","0","100","0","12","12","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.4","0.04","2.2"
"Jameson Williams","DET","6","WR","8","1","1","41","0","1","1","2","12.5","19.25","5.13","41","5","2","1","1","25","100","100","1","0","12.5","0","0","1","1","40","0","0","0","40","5","0","0","0","0","0","0","0","0","0","0","0","0","0","15.1","0.19","7.55"
"Tom Kennedy","DET","7","WR","13","8","1","141","0","0","0","0","61.5","9.46","10.85","17.63","9.38","2","0","0","15.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.1","0.1","2.76"
"Trinity Benson","DET","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jason Moore","LAC","6","WR","2","1","0","5","0","0","0","0","50","13","2.5","5","0","1","0","0","50","0","0","1","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5","0.03","1.5"
"Drake London","ATL","17","WR","114","72","1","866","1","4","0","2","63.2","11.24","7.6","12.03","3.21","31","16","4","27.2","22.2","100","10","3","8.8","4.2","75","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","1","182.6","0.22","2.54"
"Deven Thompkins","TB","4","WR","10","5","0","32","0","0","0","0","50","7.6","3.2","6.4","6.8","2","1","0","20","20","0","0","0","0","0","0","2","0","26","0","0","0","13","4","0","0","0","0","0","0","0","0","0","0","0","0","0","10.8","0.15","1.54"
"Amon-Ra St. Brown","DET","16","WR","139","106","1","1161","4","6","0","4","76.3","6.68","8.35","10.95","5.13","27","18","6","19.4","17","100","5","3","3.6","2.8","50","9","1","95","0","0","0","10.56","3.56","1","0.11","0","4","0","44.4","0","1","0","11.1","0","0","0","267.6","0.32","2.33"
"Simi Fehoko","DAL","5","WR","4","3","0","24","0","0","0","0","75","12.75","6","8","3.33","1","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.4","0.15","1.8"
"Jahan Dotson","WAS","12","WR","56","35","2","523","1","7","0","3","62.5","15.39","9.34","14.94","4.11","19","9","6","33.9","25.7","85.7","8","6","14.3","17.1","85.7","2","0","-7","0","0","0","-3.5","0.5","0","0","0","0","0","0","0","0","0","0","0","1","2","128.6","0.2","3.48"
"Chris Olave","NO","15","WR","114","72","4","1044","3","4","1","3","63.2","14.95","9.16","14.5","3.04","27","11","4","23.7","15.3","100","5","2","4.4","2.8","50","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","1","200.4","0.33","2.78"
